Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NASuit2_addOnOrderRetail,Chrome 74.0.3729.169,,2019-05-24 12:15:14,2019-05-24 12:26:37,11m - 22.878s,FAILED
,,,,,,
Test Cases/addOnOrderRetail,Chrome 74.0.3729.169,,2019-05-24 12:15:14,2019-05-24 12:26:36,11m - 21.747s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-05-24 12:15:15,2019-05-24 12:15:15,0.152s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,2019-05-24 12:15:15,2019-05-24 12:15:19,3.650s,PASSED
"for ([timeRow = 1, timeRow <= findTestData(""timezoneData"").getRowNumbers(), (timeRow++)])",Chrome 74.0.3729.169,,2019-05-24 12:15:19,2019-05-24 12:26:36,11m - 17.252s,FAILED
