Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NewArrivalSuite,Chrome 73.0.3683.103,,2019-04-30 20:25:25,2019-04-30 20:33:28,8m - 2.752s,FAILED
,,,,,,
Test Cases/NewArrivals,Chrome 73.0.3683.103,,2019-04-30 20:25:26,2019-04-30 20:33:27,8m - 1.602s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.103,,2019-04-30 20:25:26,2019-04-30 20:25:26,0.071s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-30 20:25:27,2019-04-30 20:25:30,3.879s,PASSED
"navigateToUrl(""https://test14.cliotest.com/backoffice/control/main"")",Chrome 73.0.3683.103,,2019-04-30 20:25:30,2019-04-30 20:25:38,7.222s,PASSED
"for ([timeRow = 1, timeRow <= findTestData(""timezoneData"").getRowNumbers(), (timeRow++)])",Chrome 73.0.3683.103,,2019-04-30 20:25:38,2019-04-30 20:33:27,7m - 49.750s,FAILED
