Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EditOrderTestSuit,Chrome 76.0.3809.87,,2019-08-01 20:06:56,2019-08-01 20:22:44,15m - 48.347s,FAILED
,,,,,,
Test Cases/editOrder/rsEditOrderSimple,Chrome 76.0.3809.87,,2019-08-01 20:06:57,2019-08-01 20:11:32,4m - 35.181s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.87,,2019-08-01 20:06:58,2019-08-01 20:06:58,0.349s,PASSED
"callTestCase(findTestCase(""editOrder/retailOrderBO""), [""editScenarioNumber"":1], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 20:06:59,2019-08-01 20:09:33,2m - 33.255s,PASSED
delay(10),Chrome 76.0.3809.87,,2019-08-01 20:09:33,2019-08-01 20:09:43,10.009s,PASSED
"callTestCase(findTestCase(""TestCaseUtilities/setVHost""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 20:09:43,2019-08-01 20:09:57,14.927s,PASSED
"callTestCase(findTestCase(""TestCaseUtilities/rsLogin""), [""RSURL"":"""", ""RSuser"":"""", ""RSpass"":""""], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 20:09:57,2019-08-01 20:11:10,1m - 12.042s,PASSED
"callTestCase(findTestCase(""editOrder/rsOrderHistoryConfirm""), [""orderID"":"""", ""editScenarioNumber"":1], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 20:11:10,2019-08-01 20:11:32,22.317s,FAILED
,,,,,,
Test Cases/editOrder/rsEditOrderDonation,Chrome 76.0.3809.87,,2019-08-01 20:11:32,2019-08-01 20:12:22,50.104s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.87,,2019-08-01 20:11:32,2019-08-01 20:11:32,0.006s,PASSED
"callTestCase(findTestCase(""editOrder/retailOrderBO""), [""editScenarioNumber"":4], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 20:11:33,2019-08-01 20:12:22,49.061s,FAILED
,,,,,,
Test Cases/editOrder/rsEditOrderGiftCard,Chrome 76.0.3809.87,,2019-08-01 20:12:22,2019-08-01 20:17:04,4m - 41.591s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.87,,2019-08-01 20:12:22,2019-08-01 20:12:22,0.043s,PASSED
"callTestCase(findTestCase(""editOrder/retailOrderBO""), [""editScenarioNumber"":3], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 20:12:24,2019-08-01 20:14:51,2m - 26.787s,PASSED
delay(10),Chrome 76.0.3809.87,,2019-08-01 20:14:51,2019-08-01 20:15:01,10.004s,PASSED
"callTestCase(findTestCase(""TestCaseUtilities/setVHost""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 20:15:01,2019-08-01 20:15:13,12.898s,PASSED
"callTestCase(findTestCase(""TestCaseUtilities/rsLogin""), [""RSURL"":"""", ""RSuser"":"""", ""RSpass"":""""], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 20:15:13,2019-08-01 20:16:24,1m - 10.962s,PASSED
"callTestCase(findTestCase(""editOrder/rsOrderHistoryConfirm""), [""orderID"":"""", ""editScenarioNumber"":3], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 20:16:24,2019-08-01 20:17:04,39.231s,PASSED
,,,,,,
Test Cases/editOrder/rsEditOrderPartialShip,Chrome 76.0.3809.87,,2019-08-01 20:17:04,2019-08-01 20:22:42,5m - 38.537s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.87,,2019-08-01 20:17:04,2019-08-01 20:17:04,0.003s,PASSED
"callTestCase(findTestCase(""editOrder/retailOrderBO""), [""editScenarioNumber"":5], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 20:17:05,2019-08-01 20:19:19,2m - 13.953s,PASSED
delay(10),Chrome 76.0.3809.87,,2019-08-01 20:19:19,2019-08-01 20:19:29,10.006s,PASSED
"callTestCase(findTestCase(""NewArrival/warehouseShipping""), [""orderId"":retailOrderID], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 20:19:29,2019-08-01 20:20:32,1m - 2.912s,PASSED
"callTestCase(findTestCase(""TestCaseUtilities/setVHost""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 20:20:32,2019-08-01 20:20:46,13.772s,PASSED
"callTestCase(findTestCase(""TestCaseUtilities/rsLogin""), [""RSURL"":"""", ""RSuser"":"""", ""RSpass"":""""], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 20:20:46,2019-08-01 20:21:53,1m - 6.935s,PASSED
"callTestCase(findTestCase(""editOrder/rsOrderHistoryConfirm""), [""orderID"":"""", ""editScenarioNumber"":5], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 20:21:53,2019-08-01 20:22:42,49.554s,PASSED
