Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NewArrivalSuite,Chrome 73.0.3683.103,,2019-04-24 16:40:38,2019-04-24 16:44:19,3m - 40.741s,FAILED
,,,,,,
Test Cases/NewArrivals,Chrome 73.0.3683.103,,2019-04-24 16:40:38,2019-04-24 16:44:18,3m - 39.645s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.103,,2019-04-24 16:40:38,2019-04-24 16:40:38,0.120s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-24 16:40:39,2019-04-24 16:40:42,3.419s,PASSED
"navigateToUrl(""https://test14.cliotest.com/backoffice/control/main"")",Chrome 73.0.3683.103,,2019-04-24 16:40:42,2019-04-24 16:40:50,8.023s,PASSED
"for ([timeRow = 1, timeRow <= findTestData(""timezoneData"").getRowNumbers(), (timeRow++)])",Chrome 73.0.3683.103,,2019-04-24 16:40:50,2019-04-24 16:44:18,3m - 27.442s,FAILED
