Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NewArrivalSuite,Chrome 74.0.3729.131,,2019-05-07 18:59:06,2019-05-07 19:06:45,7m - 39.312s,FAILED
,,,,,,
Test Cases/NewArrivals,Chrome 74.0.3729.131,,2019-05-07 18:59:06,2019-05-07 19:06:44,7m - 38.199s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.131,,2019-05-07 18:59:06,2019-05-07 18:59:07,0.308s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-07 18:59:07,2019-05-07 18:59:11,3.591s,PASSED
"navigateToUrl(""https://test14.cliotest.com/backoffice/control/main"")",Chrome 74.0.3729.131,,2019-05-07 18:59:11,2019-05-07 18:59:21,9.966s,PASSED
"for ([timeRow = 1, timeRow <= findTestData(""timezoneData"").getRowNumbers(), (timeRow++)])",Chrome 74.0.3729.131,,2019-05-07 18:59:21,2019-05-07 19:06:44,7m - 23.371s,FAILED
